"workerid","trial_type","valence","question","verb.phrase","entire.sentence","verb","noun.phrase","context","tgrep.id","right_side"
14,"single_generic_trial",0.32,"From very bad to very good, how good is it to have the underlined property?","have only a limited role in the sector","local authorities have only a limited role in the sector.","have","local authorities","###nwc supplies some 19 million gallons of potable water each day.###policy institutions the ministry of water and housing mwh  is responsible for setting water and sanitation policies.###it is also in charge of ensuring that all housing developments meet required standards for sanitation.###the ministry of health develops and implements health policies and legislation to promote appropriate sanitation practices; establishes and monitors health indicators for sanitation, enforces public health laws, provides public education on sanitation and hygiene.###the national environment and planning agency nepa  determines and monitors environmental standards for water supply and sanitation.
","45983:6:","VP"
14,"single_generic_trial",0.89,"From very bad to very good, how good is it to have the underlined property?","compete in the florida association of christian colleges and school fine arts festivals","music students compete in the florida association of christian colleges and school fine arts festivals and the nfcs band participates in the florida bandmasters association assessments.","compete","music students","###dr. randy ray became pastor at that time.###in 25, the church was renamed north florida baptist church.###north florida christian school students enjoy a wide range of fine arts opportunities including instruction in instrumental and vocal music, pep band, jazz band, drama and musicals, praise and worship performance music, the visual arts, and theatre.###students can participate in local, regional, and state events.###ministry opportunities include performing in chapel programs and other ministry events.
","3776:7:","VP"
14,"single_generic_trial",0.62,"From very bad to very good, how good is it to have the underlined property?","are green-skinned, human-sized fairies with shimmering wings","in holly black&quotechars and tony diterlizzi&quotechars spiderwick chronicles, pixies are green-skinned, human-sized fairies with shimmering wings.","are","pixies","###in michael buckley&quotechars"" the sisters grimm"" series, pixies are described as small orange-glowing creatures that resemble fireflies and are controlled by fairies such as puck by the use of a small wooden flute.###enid blyton wrote a number of children&quotechars books with pixies as featured characters.###one employee of the bbc even criticised her stories..###haven&quotechart much literary value.###there is rather a lot of the pink-winky-doodle-doodle dum-dumm type of name and lots of pixies  in the original tales.
","6834:33:","VP"
15,"single_generic_trial",0,"From very bad to very good, how good is it to have the underlined property?","are often on the line, through to the terminus of the operator shinjuku on the main line odawara line  or downtown via tokyo metro chiyoda line","used for commuter service by the residents of tama new town, the largest new town in japan, rapid trains are often on the line, through to the terminus of the operator shinjuku on the main line odawara line  or downtown via tokyo metro chiyoda line.""","are","rapid trains","the following outline is provided as an overview of and topical guide to biotechnology: biotechnology& ndash; field of applied biology that involves the use of living organisms and bioprocesses in engineering, technology, medicine and other fields requiring bioproducts.###biotechnology also utilizes these products for manufacturing purposes.###the line runs in the southwestern portion of greater tokyo, from shin-yurigaoka station to karakida station.
","39471:59:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","are similar to adult females, but lighter","juveniles are similar to adult females, but lighter and with a more streaky breast.","are","juveniles","###it became extinct before scientists could properly survey the new zealand avifauna, but possibly as late as 187 based on a report of a flightless goose caught in opotiki. ### this 4551 cm duck looks like a small goose, and feeds mostly by grazing in flocks.###the male is grey with a dark brown head and mottled breast.###the female has white stripes above and below the eye and mottled underparts.###both sexes have grey wings with black primaries and a white speculum.
","12173:4:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","compete in the florida association of christian colleges and school fine arts festivals","music students compete in the florida association of christian colleges and school fine arts festivals and the nfcs band participates in the florida bandmasters association assessments.","compete","music students","###dr. randy ray became pastor at that time.###in 25, the church was renamed north florida baptist church.###north florida christian school students enjoy a wide range of fine arts opportunities including instruction in instrumental and vocal music, pep band, jazz band, drama and musicals, praise and worship performance music, the visual arts, and theatre.###students can participate in local, regional, and state events.###ministry opportunities include performing in chapel programs and other ministry events.
","3776:7:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","are men and women","it may occur between heterosexual or homosexual couples and victims are men and women.","are","victims","###survivors of intimate terrorism may engage in violence resistance as the result of the violence.###it is likely to be infrequent and be conducted by women.###the most common form of intimate partner violence is situational couple violence which is conducted by individuals of both genders, nearly equally.###when both partners of a couple engage in controlling and violent behavior it is called mutual violent control.### intimate partner violence occurs between two people in an intimate relationship.
","42481:3:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","instruct the player to collect certain items, such as a sword or a goblet","spirit guardians instruct the player to collect certain items, such as a sword or a goblet.","instruct","spirit guardians","###storing these sprites in ram, they were able to simulate scaling in realtime.###though the sprites used a lot of memory, it was the only method that satisfied gorlin since he hated the low-polygon look of other contemporary games.### the name"" airheart"" is the title the player aspires to earn.###the user controls a jet-propelled flotation device.###they must navigate their craft and fight robotic defenders.
","4934:6:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","are mutually intelligible, but more distant ones may not be","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
","are","neighboring dialects","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
","67643:6:","VP"
15,"single_generic_trial",0.69,"From very bad to very good, how good is it to have the underlined property?","use a separate count form","with cardinal numbers and some adverbs, masculine nouns use a separate count form.","use","masculine nouns","###these include a sharp reduction in noun inflections; most bulgarian nouns and adjectives are inflected for number and gender, but have lost noun cases.###bulgarian also has a suffixed definite article, while most other slavic languages have no definite article at all.###bulgarian has also lost the verb infinitive, while otherwise preserving most of the complexities of the old bulgarian verb conjugation system, and has further developed the proto-slavic verb system to add verb forms to express nonwitnessed, retold, and doubtful ---"" irrealis""  actions.### bulgarian nouns have the categories grammatical gender, number, case only vocative  and definiteness.###a noun has one of three specific grammatical genders masculine, feminine, neuter  and two numbers singular and plural .
","3332:24:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","are larger in size than males","it lives to about 5 or 6 years, and females are larger in size than males.","are","females","###it is a demersal fish, which lives in sandy or muddy sand sediments along the upper slope of the continental shelf, between depths of 14 meters.###it is not an economically important fish, primarily caught as by-catch, but is ecologically important.### typical of stargazers, its body is somewhat dorso-ventrally flattened, lacks a swimbladder, and have been found as large as 35. centimeters in length, but is usually between 2 cm.###its head and jaws are rotated upward, and has very large eyes and mouth.###its body is brown in color and can have numerous small light spots, with a lighter belly.
","7142:31:","VP"
15,"single_generic_trial",1,"From very bad to very good, how good is it to have the underlined property?","gather","in this place, derelict ships gather and weird creatures abound, and some things have lain asleep there for a long time.","gather","derelict ships","### reyes made his debut for nicaragua in a september 211 fifa world cup qualification match against dominica and has, as of december 213, earned a total of 4 caps, scoring 1 goal.###he has represented his country in 3 fifa world cup qualification matches and played at the 213 copa centroamericana.###he was a non-playing squad member at the 29 concacaf gold cup.###:"" scores and results list honduras&quotechar goal tally first @ @ @ @@ 3121514"" lost ships"" is an accessory for the"" advanced dungeons& dragons"" fantasy role-playing game.###"" lost ships"" is a spelljammer supplement which describes a sort of sargasso sea in space.
","66458:17:","VP"
15,"single_generic_trial",0.6,"From very bad to very good, how good is it to have the underlined property?","do not have many natural enemies due to the harsh climate","mongolian gerbils do not have many natural enemies due to the harsh climate.","do","mongolian gerbils","###they were described as squirrel colors..###with long furry tails.###the mongolian gerbil is classed as a prohibited new organism under new zealand&quotechars hazardous substances and new organisms act 1996, preventing it from being imported into the country.###"" meriones unguiculatus"" evolved on the semideserts and steppes of mongolia.###there, they developed long legs for jumping and running from predators, teeth to deal with hard seeds and plant matter, and water conservation techniques that allow them to survive in the arid climate, such as the ability to use dry food or stores of fat to generate metabolic water.
","14776:6:","VP"
15,"single_generic_trial",0,"From very bad to very good, how good is it to have the underlined property?","compete in the associated schools junior tasj  competition and st peter&quotechars secondary girls compete in the queensland girls&quotechar secondary schools sports association qgsssa ","st peter&quotechars primary boys compete in the associated schools junior tasj  competition and st peter&quotechars secondary girls compete in the queensland girls&quotechar secondary schools sports association qgsssa .","compete","st peter&quotechars primary boys","###vijay saves the movie from being unbearable.###the film opened alongside several prominent films such as the vikram starrer"" dhool"" and the kamal haasan-madhavan starrer"" anbe sivam"".### the associated independent colleges of queensland aic  are a group of eight independent schools in queensland, australia involved in a variety of sporting and cultural activities.###aic competition is only for male secondary students.###primary schools attached to aic schools compete against their gps counterparts in the combined independent colleges cic  competition.
","3679:13:","VP"
15,"single_generic_trial",0.71,"From very bad to very good, how good is it to have the underlined property?","operate at high pressures","flashtubes operate at high pressures and are known to explode, producing violent shockwaves.","operate","flashtubes","###the energy stored in a capacitor can remain surprisingly long after power has been disconnected.###a flashtube will usually shut down before the capacitor has fully drained, and it may regain part of its charge through a process called dielectric absorption.###in addition, the charging system itself can be equally deadly.###the trigger voltage can deliver a painful shock, usually not enough to kill, but which can often startle a person into bumping or touching something more dangerous.###when a person is charged to high voltages a spark can jump, delivering the high capacitor current without actually touching anything.
","8553:4:","VP"
15,"single_generic_trial",0.36,"From very bad to very good, how good is it to have the underlined property?","are available at the community college of baltimore county, dundalk campus","in addition, college credits are available at the community college of baltimore county, dundalk campus.","are","college credits","members of the maryland transportation authority police are professional law-enforcement officers who must meet established standards and successfully complete a rigorous training program as required by the maryland police training commission.###officer candidates receive this training at the maryland transportation authority&quotechars police training academy, a fully accredited police-training facility located near the francis scott key memorial bridge.###officer candidates are expected to maintain physical and mental discipline throughout the academy.###the standard training course covers subjects such as criminal and motor-vehicle law, accident investigation, first aid, abnormal psychology, traffic control, criminal investigation, defensive tactics, weapons qualifications and court procedures.
","41999:14:","VP"
15,"single_generic_trial",0.8,"From very bad to very good, how good is it to have the underlined property?","have very thick skin","rhinos have very thick skin and seem impervious to pain; they will crush anything that gets in their path with devastating speed.","have","rhinos","###a standard season ticket for the stadium, covering all blue division games, costs 171.###tickets are sold through the official website of the 21 world lacrosse championships a competition was organised, with voters being able to decide on which character the mascot will be.###the mascot was a choice of either a british bulldog or a rhino.###the english lacrosse association offered a season ticket to the championships for the winner worth$ 197 and allows entry to watch every game of the tournament including the final.###david shuttleworth, english lacrosse association ceo said, both these animals would make a great choice of mascot, both represent differing mental and physical attributes of a top lacrosse player.
","62276:5:","VP"
15,"single_generic_trial",0.25,"From very bad to very good, how good is it to have the underlined property?","produce spectral line emission, against a faint background of continuous radiation","low current densities produce spectral line emission, against a faint background of continuous radiation.","produce","low current densities","###this is the same phenomenon that gives neon signs their characteristic color.###however, neon signs emit red light because of extremely low current densities when compared to those seen in flashtubes, which favors spectral lines of longer wavelengths.###higher current densities tend to favor shorter wavelengths.###the light from xenon, in a neon sign, likewise is rather violet.###the spectrum emitted by flashtubes is far more dependent on current density than on the fill pressure or gas type.
","8422:8:","VP"
15,"single_generic_trial",0.36,"From very bad to very good, how good is it to have the underlined property?","are available from airoli to vashi, thane, panvel, bhayandar, mulund& borivali","nmmt buses are available from airoli to vashi, thane, panvel, bhayandar, mulund& borivali.","are","nmmt buses","###the area of airoli and diva village was developed by cidco city industrial development corporation  and later on handed over to nmmc navi mumbai municipal corporation  for administration.###airoli is divided into 28 sectors, out of which 20 sectors have been developed. trains: one can reach airoli by using the mumbai suburban local train network.###you can take a train from thane going to vashi / panvel, or take a train from vashi going to thane.###it takes around 78 minutes in train from thane to airoli.###bus: best buses are available from airoli to vashi, chembur, sion, mulund, bhandup, powai, dindoshi& borivali.
","15911:6:","VP"
15,"single_generic_trial",0.6,"From very bad to very good, how good is it to have the underlined property?","do not generally fly test missions","three-star generals do not generally fly test missions, so bond&quotechars death attracted press interest.","do","three-star generals","###brown recovered, but entered a second irrecoverable spin too low to eject.###the plane hit the ground at a steep angle near the tonopah test range airfield boundary, killing the pilot instantly.###on 21 october 1982, usaf captain mark postai crashed with a mig3.###on 26 april 1984, usaf lieutenant general robert m. bobby bond, then vice commander of air force systems command, died attempting to eject after losing control of his mig3 while supersonic.###a few hours after the crash, headquarters, air force systems command, at andrews air force base, maryland issued a brief statement:""lt. gen. robert m. bond, vice commander, air force systems command, was killed today in an accident while flying in an air force specially modified test aircraft.
","64582:7:","VP"
15,"single_generic_trial",0.34,"From very bad to very good, how good is it to have the underlined property?","date from 652 bc to ad 13","preserved examples date from 652 bc to ad 13, but probably the records went back as far as the reign of the babylonian king nabonassar: ptolemy starts his chronology with the first day in the egyptian calendar of the first year of nabonassar; i.e., 26 february 747 bc.","date","preserved examples","###however kugler found that the periods that ptolemy attributes to hipparchus had already been used in babylonian ephemerides, specifically the collection of texts nowadays called system b sometimes attributed to kidinnu .###apparently hipparchus only confirmed the validity of the periods he learned from the chaldeans by his newer observations.###later greek knowledge of this specific babylonian theory is confirmed by 2nd-century papyrus, which contains 32 lines of a single column of calculations for the moon using this same system b, but written in greek on papyrus rather than in cuneiform on clay tablets.###it is clear that hipparchus and ptolemy after him  had an essentially complete list of eclipse observations covering many centuries.###most likely these had been compiled from the diary tablets: these are clay tablets recording all relevant observations that the chaldeans routinely made.
","31689:7:","VP"
15,"single_generic_trial",0.56,"From very bad to very good, how good is it to have the underlined property?","have seven to eight grams of fat and one gram of saturated fat","kettle-cooked brands have seven to eight grams of fat and one gram of saturated fat, and are 14 calories.","have","kettle-cooked brands","###lay&quotechars forno, which has less fat by 6%, is available in two flavors: authentic cheese and black pepper.#### as with most snack foods, the lay&quotechars brands contain very few vitamins and minerals in any variety.###at ten percent of the daily requirement per serving, vitamin c is the highest.###salt content is particularly high, with a serving containing as much as 38 mg of sodium.###a one-ounce 28 gram  serving of lay&quotechars regular potato chips has 16 calories, and contains ten grams of fat, with one gram of saturated fat.
","1886:6:","VP"
15,"single_generic_trial",0.24,"From very bad to very good, how good is it to have the underlined property?","do have a specific format","contrary to what has been presumed sign languages do have a specific format.","do","sign languages","###sign language is collective worldwide; instead it is similar to other languages having different signs in different cultures.###a resident from great britain does not necessarily understand asl because britain and america have two different sign languages even though both countries primarily speak english and the written language is quite parallel.###actually asl is more closely related to french sign; sharing the same origin, although today they are distinctive and different from one another.###yet another misunderstanding is that asl can be directly translated to the english language.###this however is false, when the grammar is compared asl and english are just as different as any two native languages.
","71346:26:","VP"
15,"single_generic_trial",0.61,"From very bad to very good, how good is it to have the underlined property?","are green-skinned, human-sized fairies with shimmering wings","in holly black&quotechars and tony diterlizzi&quotechars spiderwick chronicles, pixies are green-skinned, human-sized fairies with shimmering wings.","are","pixies","###in michael buckley&quotechars"" the sisters grimm"" series, pixies are described as small orange-glowing creatures that resemble fireflies and are controlled by fairies such as puck by the use of a small wooden flute.###enid blyton wrote a number of children&quotechars books with pixies as featured characters.###one employee of the bbc even criticised her stories..###haven&quotechart much literary value.###there is rather a lot of the pink-winky-doodle-doodle dum-dumm type of name and lots of pixies  in the original tales.
","6834:33:","VP"
15,"single_generic_trial",0.57,"From very bad to very good, how good is it to have the underlined property?","argue as to whether these are patrician ladies or courtesans","as with other similar pictures, historians argue as to whether these are patrician ladies or courtesans.","argue","historians","###neroccio di bartolomeo de&quotechar landi lady wears a v-necked, high-waisted gown with hanging sleeves over a floral silk gamurra with a square neckline.###her cap is of the same floral silk.###siena, c. 149.###two venetian ladies with blonde frizzy hair and caps.###the very high waist is typical of venice. Note the ""chopines"" or platform shoes to the left.
","4135:19:","VP"
15,"single_generic_trial",0.24,"From very bad to very good, how good is it to have the underlined property?","wear a ta&quotecharovala, or finely woven pandanus mat, over the kofu and tupenu","on ceremonial occasions, women wear a ta&quotecharovala, or finely woven pandanus mat, over the kofu and tupenu.","wear","women","###the tupenu worn by women is wide enough to cover the body between the waist and ankles, and long enough to wrap securely around the waist.###the standard width of cloth yardage 45 inches  is generally wide enough, so a tupenu can be made in a matter of minutes by cutting and wrapping cloth from the bolt.###women wear a knee length dress, or"" kofu"", over the tupenu.###on dress occasions, women wear matching kofu and tupenu, sewn from the same yardage.###fancy tupenus are often slightly tailored, with darts sewn into the top, so that they will fit the body more closely.
","21682:14:","VP"
15,"single_generic_trial",0.66,"From very bad to very good, how good is it to have the underlined property?","have only a limited role in the sector","local authorities have only a limited role in the sector.","have","local authorities","###nwc supplies some 19 million gallons of potable water each day.###policy institutions the ministry of water and housing mwh  is responsible for setting water and sanitation policies.###it is also in charge of ensuring that all housing developments meet required standards for sanitation.###the ministry of health develops and implements health policies and legislation to promote appropriate sanitation practices; establishes and monitors health indicators for sanitation, enforces public health laws, provides public education on sanitation and hygiene.###the national environment and planning agency nepa  determines and monitors environmental standards for water supply and sanitation.
","45983:6:","VP"
15,"single_generic_trial",0.31,"From very bad to very good, how good is it to have the underlined property?","show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing","affected persons show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing.","show","affected persons","###it involves excessive and purposeless motor behavior, as well as extreme mental preoccupation that prevents an intact experience of reality.###an example is someone walking very fast in circles to the exclusion of anything else with a level of mental preoccupation meaning not focused on anything relevant to the situation  that was not typical of the person prior to the symptom onset.###in both types of catatonia there is generally no reaction to anything that happens outside of them.###it is important to distinguish catatonic agitation from severe bipolar mania, although someone could have both.### thought disorder describes an underlying disturbance to conscious thought and is classified largely by its effects on speech and writing.
","1445:6:","VP"
16,"single_generic_trial",0.54,"From very bad to very good, how good is it to have the underlined property?","do have a specific format","contrary to what has been presumed sign languages do have a specific format.","do","sign languages","###sign language is collective worldwide; instead it is similar to other languages having different signs in different cultures.###a resident from great britain does not necessarily understand asl because britain and america have two different sign languages even though both countries primarily speak english and the written language is quite parallel.###actually asl is more closely related to french sign; sharing the same origin, although today they are distinctive and different from one another.###yet another misunderstanding is that asl can be directly translated to the english language.###this however is false, when the grammar is compared asl and english are just as different as any two native languages.
","71346:26:","VP"
16,"single_generic_trial",0.61,"From very bad to very good, how good is it to have the underlined property?","do not generally fly test missions","three-star generals do not generally fly test missions, so bond&quotechars death attracted press interest.","do","three-star generals","###brown recovered, but entered a second irrecoverable spin too low to eject.###the plane hit the ground at a steep angle near the tonopah test range airfield boundary, killing the pilot instantly.###on 21 october 1982, usaf captain mark postai crashed with a mig3.###on 26 april 1984, usaf lieutenant general robert m. bobby bond, then vice commander of air force systems command, died attempting to eject after losing control of his mig3 while supersonic.###a few hours after the crash, headquarters, air force systems command, at andrews air force base, maryland issued a brief statement:""lt. gen. robert m. bond, vice commander, air force systems command, was killed today in an accident while flying in an air force specially modified test aircraft.
","64582:7:","VP"
16,"single_generic_trial",0.51,"From very bad to very good, how good is it to have the underlined property?","are often on the line, through to the terminus of the operator shinjuku on the main line odawara line  or downtown via tokyo metro chiyoda line","used for commuter service by the residents of tama new town, the largest new town in japan, rapid trains are often on the line, through to the terminus of the operator shinjuku on the main line odawara line  or downtown via tokyo metro chiyoda line.""","are","rapid trains","the following outline is provided as an overview of and topical guide to biotechnology: biotechnology& ndash; field of applied biology that involves the use of living organisms and bioprocesses in engineering, technology, medicine and other fields requiring bioproducts.###biotechnology also utilizes these products for manufacturing purposes.###the line runs in the southwestern portion of greater tokyo, from shin-yurigaoka station to karakida station.
","39471:59:","VP"
16,"single_generic_trial",0.71,"From very bad to very good, how good is it to have the underlined property?","are available at the community college of baltimore county, dundalk campus","in addition, college credits are available at the community college of baltimore county, dundalk campus.","are","college credits","members of the maryland transportation authority police are professional law-enforcement officers who must meet established standards and successfully complete a rigorous training program as required by the maryland police training commission.###officer candidates receive this training at the maryland transportation authority&quotechars police training academy, a fully accredited police-training facility located near the francis scott key memorial bridge.###officer candidates are expected to maintain physical and mental discipline throughout the academy.###the standard training course covers subjects such as criminal and motor-vehicle law, accident investigation, first aid, abnormal psychology, traffic control, criminal investigation, defensive tactics, weapons qualifications and court procedures.
","41999:14:","VP"
16,"single_generic_trial",0.55,"From very bad to very good, how good is it to have the underlined property?","are larger in size than males","it lives to about 5 or 6 years, and females are larger in size than males.","are","females","###it is a demersal fish, which lives in sandy or muddy sand sediments along the upper slope of the continental shelf, between depths of 14 meters.###it is not an economically important fish, primarily caught as by-catch, but is ecologically important.### typical of stargazers, its body is somewhat dorso-ventrally flattened, lacks a swimbladder, and have been found as large as 35. centimeters in length, but is usually between 2 cm.###its head and jaws are rotated upward, and has very large eyes and mouth.###its body is brown in color and can have numerous small light spots, with a lighter belly.
","7142:31:","VP"
16,"single_generic_trial",0.48,"From very bad to very good, how good is it to have the underlined property?","gather","in this place, derelict ships gather and weird creatures abound, and some things have lain asleep there for a long time.","gather","derelict ships","### reyes made his debut for nicaragua in a september 211 fifa world cup qualification match against dominica and has, as of december 213, earned a total of 4 caps, scoring 1 goal.###he has represented his country in 3 fifa world cup qualification matches and played at the 213 copa centroamericana.###he was a non-playing squad member at the 29 concacaf gold cup.###:"" scores and results list honduras&quotechar goal tally first @ @ @ @@ 3121514"" lost ships"" is an accessory for the"" advanced dungeons& dragons"" fantasy role-playing game.###"" lost ships"" is a spelljammer supplement which describes a sort of sargasso sea in space.
","66458:17:","VP"
16,"single_generic_trial",0.51,"From very bad to very good, how good is it to have the underlined property?","produce spectral line emission, against a faint background of continuous radiation","low current densities produce spectral line emission, against a faint background of continuous radiation.","produce","low current densities","###this is the same phenomenon that gives neon signs their characteristic color.###however, neon signs emit red light because of extremely low current densities when compared to those seen in flashtubes, which favors spectral lines of longer wavelengths.###higher current densities tend to favor shorter wavelengths.###the light from xenon, in a neon sign, likewise is rather violet.###the spectrum emitted by flashtubes is far more dependent on current density than on the fill pressure or gas type.
","8422:8:","VP"
16,"single_generic_trial",0.57,"From very bad to very good, how good is it to have the underlined property?","argue as to whether these are patrician ladies or courtesans","as with other similar pictures, historians argue as to whether these are patrician ladies or courtesans.","argue","historians","###neroccio di bartolomeo de&quotechar landi lady wears a v-necked, high-waisted gown with hanging sleeves over a floral silk gamurra with a square neckline.###her cap is of the same floral silk.###siena, c. 149.###two venetian ladies with blonde frizzy hair and caps.###the very high waist is typical of venice. Note the ""chopines"" or platform shoes to the left.
","4135:19:","VP"
16,"single_generic_trial",0.48,"From very bad to very good, how good is it to have the underlined property?","have only a limited role in the sector","local authorities have only a limited role in the sector.","have","local authorities","###nwc supplies some 19 million gallons of potable water each day.###policy institutions the ministry of water and housing mwh  is responsible for setting water and sanitation policies.###it is also in charge of ensuring that all housing developments meet required standards for sanitation.###the ministry of health develops and implements health policies and legislation to promote appropriate sanitation practices; establishes and monitors health indicators for sanitation, enforces public health laws, provides public education on sanitation and hygiene.###the national environment and planning agency nepa  determines and monitors environmental standards for water supply and sanitation.
","45983:6:","VP"
16,"single_generic_trial",0.53,"From very bad to very good, how good is it to have the underlined property?","date from 652 bc to ad 13","preserved examples date from 652 bc to ad 13, but probably the records went back as far as the reign of the babylonian king nabonassar: ptolemy starts his chronology with the first day in the egyptian calendar of the first year of nabonassar; i.e., 26 february 747 bc.","date","preserved examples","###however kugler found that the periods that ptolemy attributes to hipparchus had already been used in babylonian ephemerides, specifically the collection of texts nowadays called system b sometimes attributed to kidinnu .###apparently hipparchus only confirmed the validity of the periods he learned from the chaldeans by his newer observations.###later greek knowledge of this specific babylonian theory is confirmed by 2nd-century papyrus, which contains 32 lines of a single column of calculations for the moon using this same system b, but written in greek on papyrus rather than in cuneiform on clay tablets.###it is clear that hipparchus and ptolemy after him  had an essentially complete list of eclipse observations covering many centuries.###most likely these had been compiled from the diary tablets: these are clay tablets recording all relevant observations that the chaldeans routinely made.
","31689:7:","VP"
16,"single_generic_trial",0.6,"From very bad to very good, how good is it to have the underlined property?","do not have many natural enemies due to the harsh climate","mongolian gerbils do not have many natural enemies due to the harsh climate.","do","mongolian gerbils","###they were described as squirrel colors..###with long furry tails.###the mongolian gerbil is classed as a prohibited new organism under new zealand&quotechars hazardous substances and new organisms act 1996, preventing it from being imported into the country.###"" meriones unguiculatus"" evolved on the semideserts and steppes of mongolia.###there, they developed long legs for jumping and running from predators, teeth to deal with hard seeds and plant matter, and water conservation techniques that allow them to survive in the arid climate, such as the ability to use dry food or stores of fat to generate metabolic water.
","14776:6:","VP"
16,"single_generic_trial",0.69,"From very bad to very good, how good is it to have the underlined property?","show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing","affected persons show loosening of associations, that is, a disconnection and disorganization of the semantic content of speech and writing.","show","affected persons","###it involves excessive and purposeless motor behavior, as well as extreme mental preoccupation that prevents an intact experience of reality.###an example is someone walking very fast in circles to the exclusion of anything else with a level of mental preoccupation meaning not focused on anything relevant to the situation  that was not typical of the person prior to the symptom onset.###in both types of catatonia there is generally no reaction to anything that happens outside of them.###it is important to distinguish catatonic agitation from severe bipolar mania, although someone could have both.### thought disorder describes an underlying disturbance to conscious thought and is classified largely by its effects on speech and writing.
","1445:6:","VP"
16,"single_generic_trial",0.61,"From very bad to very good, how good is it to have the underlined property?","use a separate count form","with cardinal numbers and some adverbs, masculine nouns use a separate count form.","use","masculine nouns","###these include a sharp reduction in noun inflections; most bulgarian nouns and adjectives are inflected for number and gender, but have lost noun cases.###bulgarian also has a suffixed definite article, while most other slavic languages have no definite article at all.###bulgarian has also lost the verb infinitive, while otherwise preserving most of the complexities of the old bulgarian verb conjugation system, and has further developed the proto-slavic verb system to add verb forms to express nonwitnessed, retold, and doubtful ---"" irrealis""  actions.### bulgarian nouns have the categories grammatical gender, number, case only vocative  and definiteness.###a noun has one of three specific grammatical genders masculine, feminine, neuter  and two numbers singular and plural .
","3332:24:","VP"
16,"single_generic_trial",0.82,"From very bad to very good, how good is it to have the underlined property?","have seven to eight grams of fat and one gram of saturated fat","kettle-cooked brands have seven to eight grams of fat and one gram of saturated fat, and are 14 calories.","have","kettle-cooked brands","###lay&quotechars forno, which has less fat by 6%, is available in two flavors: authentic cheese and black pepper.#### as with most snack foods, the lay&quotechars brands contain very few vitamins and minerals in any variety.###at ten percent of the daily requirement per serving, vitamin c is the highest.###salt content is particularly high, with a serving containing as much as 38 mg of sodium.###a one-ounce 28 gram  serving of lay&quotechars regular potato chips has 16 calories, and contains ten grams of fat, with one gram of saturated fat.
","1886:6:","VP"
16,"single_generic_trial",0.81,"From very bad to very good, how good is it to have the underlined property?","are available from airoli to vashi, thane, panvel, bhayandar, mulund& borivali","nmmt buses are available from airoli to vashi, thane, panvel, bhayandar, mulund& borivali.","are","nmmt buses","###the area of airoli and diva village was developed by cidco city industrial development corporation  and later on handed over to nmmc navi mumbai municipal corporation  for administration.###airoli is divided into 28 sectors, out of which 20 sectors have been developed. trains: one can reach airoli by using the mumbai suburban local train network.###you can take a train from thane going to vashi / panvel, or take a train from vashi going to thane.###it takes around 78 minutes in train from thane to airoli.###bus: best buses are available from airoli to vashi, chembur, sion, mulund, bhandup, powai, dindoshi& borivali.
","15911:6:","VP"
16,"single_generic_trial",0.67,"From very bad to very good, how good is it to have the underlined property?","are mutually intelligible, but more distant ones may not be","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
","are","neighboring dialects","neighboring dialects are mutually intelligible, but more distant ones may not be.   rwanda-rundi ruanda-rundi  is a group of bantu languages, specifically a dialect continuum, spoken in central africa.
","67643:6:","VP"
16,"single_generic_trial",0.78,"From very bad to very good, how good is it to have the underlined property?","are similar to adult females, but lighter","juveniles are similar to adult females, but lighter and with a more streaky breast.","are","juveniles","###it became extinct before scientists could properly survey the new zealand avifauna, but possibly as late as 187 based on a report of a flightless goose caught in opotiki. ### this 4551 cm duck looks like a small goose, and feeds mostly by grazing in flocks.###the male is grey with a dark brown head and mottled breast.###the female has white stripes above and below the eye and mottled underparts.###both sexes have grey wings with black primaries and a white speculum.
","12173:4:","VP"
